nome,tecnologia,outrosDetalhes,tecnologias,nivel,remoto,salario,salario_maximo,Tecnologia 1,Tecnologia 2,Tecnologia 3,Tecnologia 4,Tecnologia 5,Tecnologia 6,Tecnologia 7,Tecnologia 8,Tecnologia 9,Tecnologia 10,Tecnologia 11,Tecnologia 12
"Vencida, Desenvolvedor(a) Front-end - Pleno","AWS EC2 (Elastic Compute Cloud),ReactJS,React Native","Flix Seguros,Remoto,Startup,Pleno,CLT,Aceita candidatos de fora","['AWS EC2 (Elastic Compute Cloud)', 'ReactJS', 'React Native']",Pleno,Remoto,CLT,,AWS EC2 (Elastic Compute Cloud),ReactJS,React Native,,,,,,,,,
"Vencida, Developer Vue.js / Nuxt.js  - Full Time (Remote)","GraphQL,TypeScript,Vue.js","PROMPTEQUATION / ODOOGAP,Remoto,Pequena/média empresa,Até R$8.000,Pleno,CLT / PJ,Aceita candidatos de fora","['GraphQL', 'TypeScript', 'Vue.js']",Não especificado,Remoto,CLT / PJ,8.000,GraphQL,TypeScript,Vue.js,,,,,,,,,
"Vencida, Desenvolvedor(a) Django","Selenium,Django,Python","Control,Florianópolis, Santa Catarina, Brasil,Pequena/média empresa,Até R$15.000,Sênior,PJ,Aceita candidatos de fora","['Selenium', 'Django', 'Python']",Não especificado,Não Remoto,PJ,15.000,Selenium,Django,Python,,,,,,,,,
"Vencida, Desenvolvedor(a) ReactJS / NodeJS","CSS,Git,HTML,Java,Node.js,ReactJS","Konvix Tecnologia,Remoto,Startup,Até R$3.000,Pleno,CLT,Aceita candidatos de fora","['CSS', 'Git', 'HTML', 'Java', 'Node.js', 'ReactJS']",Não especificado,Remoto,CLT,3.000,CSS,Git,HTML,Java,Node.js,ReactJS,,,,,,
"Vencida, Desenvolvedor(a) FullStack","GraphQL,Jest,Node.js,ReactJS,React Native,TypeScript","Acelera RH,Remoto,Pequena/média empresa,Até R$12.000,Pleno,PJ,Aceita candidatos de fora","['GraphQL', 'Jest', 'Node.js', 'ReactJS', 'React Native', 'TypeScript']",Não especificado,Remoto,PJ,12.000,GraphQL,Jest,Node.js,ReactJS,React Native,TypeScript,,,,,,
"Vencida, Desenvolvedor(a) PHP(CMS Wordpress) / CSS - Pleno","CSS,HTML,JavaScript,PHP,SQL","MCorp Consultoria,Remoto,Pequena/média empresa,Até R$4.000,Pleno,PJ,Aceita candidatos de fora","['CSS', 'HTML', 'JavaScript', 'PHP', 'SQL']",Pleno,Remoto,PJ,4.000,CSS,HTML,JavaScript,PHP,SQL,,,,,,,
"Vencida, Desenvolvedor(a) Magento - Sênior","API,Design Pattern,Flex,Git,Magento,PHP","VitaminaWeb,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora","['API', 'Design Pattern', 'Flex', 'Git', 'Magento', 'PHP']",Sênior,Remoto,PJ,,API,Design Pattern,Flex,Git,Magento,PHP,,,,,,
"Vencida, Desenvolvedor(a) Mobile","Android,Java,Kotlin","Carguero ,Remoto,Startup,Até R$12.000,Sênior,CLT,Aceita candidatos de fora","['Android', 'Java', 'Kotlin']",Não especificado,Remoto,CLT,12.000,Android,Java,Kotlin,,,,,,,,,
"Vencida, Desenvolvedor(a) Front-End React","Node.js,ReactJS,SQL Server","DeltaOmega Tecnologia,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$7.000,Pleno,PJ,Aceita candidatos de fora","['Node.js', 'ReactJS', 'SQL Server']",Não especificado,Não Remoto,PJ,7.000,Node.js,ReactJS,SQL Server,,,,,,,,,
"Vencida,  Analista Programador(a) .NET","C#,SQL Server,.NET","Trucks Control,Remoto,Pequena/média empresa,Até R$7.000,Júnior,CLT,Aceita candidatos de fora","['C#', 'SQL Server', '.NET']",Não especificado,Remoto,CLT,7.000,C#,SQL Server,.NET,,,,,,,,,
"Vencida, Analista Programador(a) Mobile","Android,C#,iOS,Java,Objective-C,Web Services","Trucks Control,Remoto,Pequena/média empresa,Até R$7.000,Júnior,CLT,Aceita candidatos de fora","['Android', 'C#', 'iOS', 'Java', 'Objective-C', 'Web Services']",Não especificado,Remoto,CLT,7.000,Android,C#,iOS,Java,Objective-C,Web Services,,,,,,
"Vencida, Desenvolvedor(a) Ruby on Rails - Sênior","Ruby on Rails,PostgreSQL,API,AWS S3,Testes automatizados,ReactJS","bycoders_,Remoto,Pequena/média empresa,Sênior,PJ / CLT,Aceita candidatos de fora","['Ruby on Rails', 'PostgreSQL', 'API', 'AWS S3', 'Testes automatizados', 'ReactJS']",Sênior,Remoto,PJ / CLT,,Ruby on Rails,PostgreSQL,API,AWS S3,Testes automatizados,ReactJS,,,,,,
"Vencida, Analista Desenvolvedor(a) Django","AWS S3,Bootstrap,CSS,Django,Java,Python","Grupo GBI,Remoto,Pequena/média empresa,Até R$10.000,Sênior,PJ,Aceita candidatos de fora","['AWS S3', 'Bootstrap', 'CSS', 'Django', 'Java', 'Python']",Não especificado,Remoto,PJ,10.000,AWS S3,Bootstrap,CSS,Django,Java,Python,,,,,,
"Vencida, Desenvolvedor(a) React Native - Pleno","Git,ReactJS,React Native","Develcode Informática LTDA,Remoto,Pequena/média empresa,Pleno,CLT / PJ,Aceita candidatos de fora","['Git', 'ReactJS', 'React Native']",Pleno,Remoto,CLT / PJ,,Git,ReactJS,React Native,,,,,,,,,
"Vencida, Desenvolvedor(a) Node.Js - Sênior ","API,MongoDB,Node.js","Via Digital Serviços de Internet Ltda,Remoto,Pequena/média empresa,Até R$10.000,Sênior,PJ,Aceita candidatos de fora","['API', 'MongoDB', 'Node.js']",Sênior,Remoto,PJ,10.000,API,MongoDB,Node.js,,,,,,,,,
"Vencida, Desenvolvedor(a) Java","CSS,HTML,Java,MongoDB,Spring,JavaScript","Malu Frontino,Remoto,Startup,Até R$8.000,Sênior,CLT,Aceita candidatos de fora","['CSS', 'HTML', 'Java', 'MongoDB', 'Spring', 'JavaScript']",Não especificado,Remoto,CLT,8.000,CSS,HTML,Java,MongoDB,Spring,JavaScript,,,,,,
"Vencida, Arquiteto de Soluções","C#,DevOps,kubernetes,RabbitMQ,.NET,API","Crefisa,São Paulo, São Paulo, Brasil,Grande empresa,Até R$15.000,Sênior,CLT,Aceita candidatos de fora","['C#', 'DevOps', 'kubernetes', 'RabbitMQ', '.NET', 'API']",Não especificado,Não Remoto,CLT,15.000,C#,DevOps,kubernetes,RabbitMQ,.NET,API,,,,,,
"Vencida, Desenvolvedor(a) Front-End React ","Docker,JavaScript,ReactJS,Redux","Carguero ,Remoto,Startup,Até R$12.000,Sênior,CLT,Aceita candidatos de fora","['Docker', 'JavaScript', 'ReactJS', 'Redux']",Não especificado,Remoto,CLT,12.000,Docker,JavaScript,ReactJS,Redux,,,,,,,,
"Vencida, Desenvolvedor(a) Back-End","JavaScript,MongoDB,MVC,Node.js,NoSQL,TypeScript","AGX Software,Remoto,Pequena/média empresa,Até R$4.000,Pleno,CLT,Aceita candidatos de fora","['JavaScript', 'MongoDB', 'MVC', 'Node.js', 'NoSQL', 'TypeScript']",Não especificado,Remoto,CLT,4.000,JavaScript,MongoDB,MVC,Node.js,NoSQL,TypeScript,,,,,,
"Vencida, Desenvolvedor(a) Front-End","API,MVC,ReactJS,Redux,Git,RESTful","AGX Software,Remoto,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora","['API', 'MVC', 'ReactJS', 'Redux', 'Git', 'RESTful']",Não especificado,Remoto,CLT,,API,MVC,ReactJS,Redux,Git,RESTful,,,,,,
"Vencida, Programador(a) PHP - Remoto","MySQL,PHP,Zend","Pontocom,Remoto,Pequena/média empresa,Até R$6.000,Pleno,PJ,Aceita candidatos de fora","['MySQL', 'PHP', 'Zend']",Não especificado,Remoto,PJ,6.000,MySQL,PHP,Zend,,,,,,,,,
"Vencida, Programador(a) PHP - Júnior","MySQL,PHP,Zend","Pontocom,Curitiba, Paraná, Brasil,Pequena/média empresa,Até R$3.000,Júnior,PJ,Aceita candidatos de fora","['MySQL', 'PHP', 'Zend']",Júnior,Não Remoto,PJ,3.000,MySQL,PHP,Zend,,,,,,,,,
"Vencida, Desenvolvedor(a) Angular - Pleno ","Angular,JavaScript,TypeScript","Recriarti,Remoto,Pequena/média empresa,Até R$18.000,Pleno,PJ,Aceita candidatos de fora","['Angular', 'JavaScript', 'TypeScript']",Pleno,Remoto,PJ,18.000,Angular,JavaScript,TypeScript,,,,,,,,,
"Vencida, Desenvolvedor(a) C#/.NET Web (Arquitetura MVC)","C#,MVC,SQL Server,.NET","Tivia Tecnologia da Informação ,Remoto,Grande empresa,Até R$12.000,Pleno,CLT / PJ,Aceita candidatos de fora","['C#', 'MVC', 'SQL Server', '.NET']",Não especificado,Remoto,CLT / PJ,12.000,C#,MVC,SQL Server,.NET,,,,,,,,
"Vencida, Developer Full-Stack PHP - Remote","JavaScript,PHP,ReactJS","Scopic,Remoto,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora","['JavaScript', 'PHP', 'ReactJS']",Não especificado,Remoto,CLT,,JavaScript,PHP,ReactJS,,,,,,,,,
"Vencida, Desenvolvedor(a) Magento - Inglês Avançado","Git,Magento,MySQL,PHP,RESTful","Tivia Tecnologia da Informação ,Remoto,Grande empresa,Até R$15.000,Sênior,CLT,Aceita candidatos de fora","['Git', 'Magento', 'MySQL', 'PHP', 'RESTful']",Não especificado,Remoto,CLT,15.000,Git,Magento,MySQL,PHP,RESTful,,,,,,,
"Vencida, Desenvolvedor(a) Front-End React - Sênior","CSS,HTML,JavaScript,ReactJS","Acelera RH,Remoto,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora","['CSS', 'HTML', 'JavaScript', 'ReactJS']",Sênior,Remoto,CLT,,CSS,HTML,JavaScript,ReactJS,,,,,,,,
"Vencida, Analista Desenvolvedor(a) Java - Pleno","Angular,Git,PostgreSQL,Java,SCRUM,Spring Boot","Navita,São Paulo, São Paulo, Brasil,Startup,Pleno,CLT,Aceita candidatos de fora","['Angular', 'Git', 'PostgreSQL', 'Java', 'SCRUM', 'Spring Boot']",Pleno,Não Remoto,CLT,,Angular,Git,PostgreSQL,Java,SCRUM,Spring Boot,,,,,,
"Vencida, Analista Desenvolvedor(a) VueJS/Angular - Júnior","Angular,Git,Kanban,PostgreSQL,SCRUM,Vue.js","Navita,São Paulo, São Paulo, Brasil,Startup,Júnior,CLT,Aceita candidatos de fora","['Angular', 'Git', 'Kanban', 'PostgreSQL', 'SCRUM', 'Vue.js']",Júnior,Não Remoto,CLT,,Angular,Git,Kanban,PostgreSQL,SCRUM,Vue.js,,,,,,
"Vencida, Analista Desenvolvedor(a) Java - Sênior","Design Pattern,Git,Java,PostgreSQL,RESTful,SQL Server","Navita,São Paulo, São Paulo, Brasil,Startup,Sênior,CLT,Aceita candidatos de fora","['Design Pattern', 'Git', 'Java', 'PostgreSQL', 'RESTful', 'SQL Server']",Sênior,Não Remoto,CLT,,Design Pattern,Git,Java,PostgreSQL,RESTful,SQL Server,,,,,,
"Vencida, Analista Desenvolvedor(a) Java - Júnior","Angular,Git,PostgreSQL,SCRUM,Spring Boot,Java","Navita,São Paulo, São Paulo, Brasil,Startup,Pleno,CLT,Aceita candidatos de fora","['Angular', 'Git', 'PostgreSQL', 'SCRUM', 'Spring Boot', 'Java']",Júnior,Não Remoto,CLT,,Angular,Git,PostgreSQL,SCRUM,Spring Boot,Java,,,,,,
"Vencida, Desenvolvedor(a) Full-Stack","Go,JavaScript,PHP","SocialHub,Rio de Janeiro, Rio de Janeiro, Brasil,Startup,Até R$3.500,Pleno,PJ,Aceita candidatos de fora","['Go', 'JavaScript', 'PHP']",Não especificado,Não Remoto,PJ,3.500,Go,JavaScript,PHP,,,,,,,,,
"Vencida, Desenvolvedor(a) Back-End - Sênior","API,C#,Cloud,Docker,Python,Git","D3 Company,Remoto,Pequena/média empresa,Sênior,CLT / PJ,Aceita candidatos de fora","['API', 'C#', 'Cloud', 'Docker', 'Python', 'Git']",Sênior,Remoto,CLT / PJ,,API,C#,Cloud,Docker,Python,Git,,,,,,
"Vencida, Desenvolvedor(a) PHP","Bootstrap,Git,MVC,MySQL,PHP,SCRUM","Mastertax,Remoto,Startup,Até R$8.000,Pleno,PJ,Aceita candidatos de fora","['Bootstrap', 'Git', 'MVC', 'MySQL', 'PHP', 'SCRUM']",Não especificado,Remoto,PJ,8.000,Bootstrap,Git,MVC,MySQL,PHP,SCRUM,,,,,,
"Vencida, Desenvolvedor(a) ReactJS - Pleno","CSS,HTML,JavaScript,ReactJS,TypeScript","ez.devs,Remoto,Pequena/média empresa,Até R$12.000,Pleno,PJ,Aceita candidatos de fora","['CSS', 'HTML', 'JavaScript', 'ReactJS', 'TypeScript']",Pleno,Remoto,PJ,12.000,CSS,HTML,JavaScript,ReactJS,TypeScript,,,,,,,
"Vencida, Desenvolvedor(a) de Software ","MySQL,Node.js,ReactJS,AWS S3,Elasticsearch,Vue.js","Passei Direto ,Remoto,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora","['MySQL', 'Node.js', 'ReactJS', 'AWS S3', 'Elasticsearch', 'Vue.js']",Não especificado,Remoto,CLT,,MySQL,Node.js,ReactJS,AWS S3,Elasticsearch,Vue.js,,,,,,
"Vencida, Desenvolvedor(a) ","Java,JavaScript,ReactJS","View Software House,Ponta Grossa, Paraná, Brasil,Startup,Até R$3.000,Júnior,CLT,Não aceita candidatos de fora","['Java', 'JavaScript', 'ReactJS']",Não especificado,Não Remoto,CLT,3.000,Java,JavaScript,ReactJS,,,,,,,,,
"Vencida, Desenvolvedor(a) IOS - Sênior","Clean Code,Git,Objective-C,SCRUM,Swift,iOS","One Choice ,Remoto,Pequena/média empresa,Até R$12.000,Sênior,CLT,Aceita candidatos de fora","['Clean Code', 'Git', 'Objective-C', 'SCRUM', 'Swift', 'iOS']",Sênior,Remoto,CLT,12.000,Clean Code,Git,Objective-C,SCRUM,Swift,iOS,,,,,,
"Vencida, Desenvolvedor(a) Especialista em Power Builder","ORACLE,PLSQL,PowerBuilder,UML","Nityo Infotech do BRasil ,Remoto,Pequena/média empresa,Até R$12.000,Sênior,CLT,Aceita candidatos de fora","['ORACLE', 'PLSQL', 'PowerBuilder', 'UML']",Não especificado,Remoto,CLT,12.000,ORACLE,PLSQL,PowerBuilder,UML,,,,,,,,
"Vencida, Desenvolvedor(a) Front-End Angular - Sênior","Angular,HTML,JavaScript","Br Brasil Retail Administrativo e Incorporadora S.A.,Remoto,Startup,Sênior,PJ,Aceita candidatos de fora","['Angular', 'HTML', 'JavaScript']",Sênior,Remoto,PJ,,Angular,HTML,JavaScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Back-End - Júnior","API,Bootstrap,C#,.NET,PHP","Hub Home Box,São Paulo, São Paulo, Brasil,Startup,Até R$3.000,Júnior,CLT,Aceita candidatos de fora","['API', 'Bootstrap', 'C#', '.NET', 'PHP']",Júnior,Não Remoto,CLT,3.000,API,Bootstrap,C#,.NET,PHP,,,,,,,
"Vencida, Desenvolvedor(a) Java Full-Stack - Pleno","Angular,Java,Spring Boot","DomDH,Remoto,Startup,Até R$5.000,Pleno,CLT,Aceita candidatos de fora","['Angular', 'Java', 'Spring Boot']",Pleno,Remoto,CLT,5.000,Angular,Java,Spring Boot,,,,,,,,,
"Vencida, Desenvolvedor(a) Back-End Python - Sênior","Clean,Git,Python","Flix Seguros,Remoto,Startup,Sênior,CLT,Aceita candidatos de fora","['Clean', 'Git', 'Python']",Sênior,Remoto,CLT,,Clean,Git,Python,,,,,,,,,
"Vencida, Desenvolvedor(a) Web","Android,Angular,API,Ionic,JavaScript,jQuery","SOFTDIB INFORMÁTICA LTDA,Curitiba, Paraná, Brasil,Pequena/média empresa,Até R$8.000,Sênior,PJ,Não aceita candidatos de fora","['Android', 'Angular', 'API', 'Ionic', 'JavaScript', 'jQuery']",Não especificado,Não Remoto,PJ,8.000,Android,Angular,API,Ionic,JavaScript,jQuery,,,,,,
"Vencida, Desenvolvedor(a) Java - Pleno","Hibernate,PostgreSQL,Java","G4F,Remoto,Grande empresa,Até R$5.000,Pleno,CLT,Aceita candidatos de fora","['Hibernate', 'PostgreSQL', 'Java']",Pleno,Remoto,CLT,5.000,Hibernate,PostgreSQL,Java,,,,,,,,,
"Vencida, Desenvolvedor(a) Python - 100% Remota","Django,Flask,Pyramid,Python","Clicksign,Remoto,Startup,Sênior,PJ,Aceita candidatos de fora","['Django', 'Flask', 'Pyramid', 'Python']",Não especificado,Remoto,PJ,,Django,Flask,Pyramid,Python,,,,,,,,
"Vencida, Desenvolvedor(a) Java - Sênior","Java,JavaScript,SQL","Engineering Brasil,Remoto,Pequena/média empresa,Até R$18.000,Sênior,CLT,Aceita candidatos de fora","['Java', 'JavaScript', 'SQL']",Sênior,Remoto,CLT,18.000,Java,JavaScript,SQL,,,,,,,,,
"Vencida, Desenvolvedor(a) .NET/Framework/Core - Sênior ","API,Design Pattern,Entity framework,Git,.NET,RESTful","LOLDESIGN Soluções Digitais LTDA,Remoto,Pequena/média empresa,Até R$8.000,Sênior,CLT / PJ,Aceita candidatos de fora","['API', 'Design Pattern', 'Entity framework', 'Git', '.NET', 'RESTful']",Sênior,Remoto,CLT / PJ,8.000,API,Design Pattern,Entity framework,Git,.NET,RESTful,,,,,,
"Vencida, Desenvolvedor(a) - Pleno","Elasticsearch,Laravel,MySQL,PHP","CEGH Tecnologias Educacionais,Remoto,Startup,Até R$8.000,Pleno,PJ,Aceita candidatos de fora","['Elasticsearch', 'Laravel', 'MySQL', 'PHP']",Pleno,Remoto,PJ,8.000,Elasticsearch,Laravel,MySQL,PHP,,,,,,,,
"Vencida, Desenvolvedor(a) PHP/Laravel - Pleno","CSS,Laravel,MySQL,Vue.js","Nick Saúde,Remoto,Startup,Até R$8.000,Pleno,PJ,Aceita candidatos de fora","['CSS', 'Laravel', 'MySQL', 'Vue.js']",Pleno,Remoto,PJ,8.000,CSS,Laravel,MySQL,Vue.js,,,,,,,,
"Vencida, Desenvolvedor(a) Back-End - Sênior","GraphQL,Node.js,PostgreSQL,TypeScript","adōpets,Remoto,Startup,Sênior,PJ,Aceita candidatos de fora","['GraphQL', 'Node.js', 'PostgreSQL', 'TypeScript']",Sênior,Remoto,PJ,,GraphQL,Node.js,PostgreSQL,TypeScript,,,,,,,,
"Vencida, Desenvolvedor(a) PHP/LARAVEL - Sênior","API,Bootstrap,Laravel,Docker,MySQL,PHP","Xper Negocios Gestão e Serviços.,Remoto,Pequena/média empresa,Até R$5.000,Sênior,PJ,Aceita candidatos de fora","['API', 'Bootstrap', 'Laravel', 'Docker', 'MySQL', 'PHP']",Sênior,Remoto,PJ,5.000,API,Bootstrap,Laravel,Docker,MySQL,PHP,,,,,,
"Vencida, Analista Programador(a) Web - Pleno","ASP.NET,C#,CSS,HTML,JavaScript,SQL Server","Trucks Control,Londrina, Paraná, Brasil,Pequena/média empresa,Até R$6.000,Pleno,CLT,Aceita candidatos de fora","['ASP.NET', 'C#', 'CSS', 'HTML', 'JavaScript', 'SQL Server']",Pleno,Não Remoto,CLT,6.000,ASP.NET,C#,CSS,HTML,JavaScript,SQL Server,,,,,,
"Vencida, Front-End Engineer - React","JavaScript,ReactJS,CSS","Constructor,Remoto,Startup,Acima de R$18.000,Pleno,PJ,Aceita candidatos de fora","['JavaScript', 'ReactJS', 'CSS']",Não especificado,Remoto,PJ,,JavaScript,ReactJS,CSS,,,,,,,,,
"Vencida,  Developer Back-End Laravel/Api - Pleno","API,Laravel,Linux","Akintec,São Paulo, São Paulo, Brasil,Startup,Até R$6.000,Pleno,PJ,Aceita candidatos de fora","['API', 'Laravel', 'Linux']",Pleno,Não Remoto,PJ,6.000,API,Laravel,Linux,,,,,,,,,
"Vencida, Desenvolvedor(a) Python/PHP/GIT ","Git,MySQL,NoSQL,PHP,PostgreSQL,Python","Nityo Infotech do BRasil ,Remoto,Pequena/média empresa,Até R$10.000,Sênior,CLT,Aceita candidatos de fora","['Git', 'MySQL', 'NoSQL', 'PHP', 'PostgreSQL', 'Python']",Não especificado,Remoto,CLT,10.000,Git,MySQL,NoSQL,PHP,PostgreSQL,Python,,,,,,
"Vencida, Desenvolvedor(a) C#/.Net - Sênior","Docker,Git,.NET","UDS Tecnologia,Remoto,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora","['Docker', 'Git', '.NET']",Sênior,Remoto,CLT,,Docker,Git,.NET,,,,,,,,,
"Vencida,  Developer Back-End API/PHP/Laravel - Sênior","API,Google Cloud,Laravel,Testes automatizados","Akintec,São Paulo, São Paulo, Brasil,Startup,Até R$10.000,Sênior,PJ,Aceita candidatos de fora","['API', 'Google Cloud', 'Laravel', 'Testes automatizados']",Sênior,Não Remoto,PJ,10.000,API,Google Cloud,Laravel,Testes automatizados,,,,,,,,
"Vencida, Desenvolvedor(a) Unreal ","Android Studio,C++,UnrealScript","IM Designs,Belo Horizonte, Minas Gerais, Brasil,Startup,Até R$4.000,Pleno,CLT,Aceita candidatos de fora","['Android Studio', 'C++', 'UnrealScript']",Não especificado,Não Remoto,CLT,4.000,Android Studio,C++,UnrealScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Node.js - Pleno","Git,Node.js,ReactJS,Testes unitários","UDS Tecnologia,Remoto,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora","['Git', 'Node.js', 'ReactJS', 'Testes unitários']",Pleno,Remoto,CLT,,Git,Node.js,ReactJS,Testes unitários,,,,,,,,
