nome,tecnologia,outrosDetalhes
"Vencida, Analista Desenvolvedor(a) Full Stack C# / JavaScript Pleno","C#,JavaScript,SQL Server,VB .NET","Talent Group,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$10.000,Pleno,CLT,Não aceita candidatos de fora"
"Vencida, Software Engineer - React Sênior [INTERNACIONAL]","JavaScript,ReactJS,Redux,SQL,Testes automatizados","Novatics Tecnologia,Remoto,Pequena/média empresa,Até R$15.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Pleno","Git,HTML,JavaScript,PHP,ReactJS,TypeScript","Mark Up,Remoto,Pequena/média empresa,Até R$5.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Tech Lead  (Experiência em Liderança)","Docker,JSON,MySQL,Node.js,NoSQL,RESTful","Ymonetize,Remoto,Pequena/média empresa,Acima de R$18.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Angular + Java Pleno","Angular,Java,SQL","MKDATA,Remoto,Pequena/média empresa,Até R$10.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack C# Pleno/Senior","C#,Git,.NET Core,ReactJS,SQL Server,Delphi","THETOS Administração e Informática Ltda.,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Pleno","Go,MySQL,Node.js,Vue.js","nScreen,Remoto,Startup,Até R$8.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, 2 Desenvolvedores Back End C# Sênior","C#,Design Pattern,Git,RabbitMQ,SCRUM,Testes unitários","PROJETO MAIOR INTELIGENCIA E TECNOLOGIA LTDA,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Sênior","API,CSS,HTML,JavaScript,Node.js,ReactJS","Grupo GBI,Remoto,Pequena/média empresa,Até R$12.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Analista DevOps Senior","AWS S3,DevOps,kubernetes,MongoDB,Python,Shell Script","THETOS Administração e Informática Ltda.,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) JAVA ","Java,PLSQL,RESTful,Spring,Spring MVC"," FIVE IT SOLUTIONS LTDA,Remoto,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) .Net Júnior","API,C#,.NET,.NET Core","RELEVO LAB,Remoto,Startup,Até R$4.000,Júnior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP Pleno","PostgreSQL,ERP,Laravel,PHP,Yii","Revenda Mais,Curitiba, PR,Pequena/média empresa,Até R$8.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Sênior","CSS,HTML,JavaScript,Laravel,PHP,PostgreSQL","TICOMIA FRANCHISING,Remoto,Pequena/média empresa,Sênior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack","JavaScript,Node.js,ReactJS","Acelera RH,Remoto,Pequena/média empresa,Até R$10.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Back End Sênior","Design Pattern,Git,Hibernate,Java,Spring Boot,SQL","UDS Tecnologia,São Paulo, São Paulo, Brasil,Pequena/média empresa,Sênior,PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) JAVA SR","Docker,Java,MongoDB,MySQL,RESTful","LPB SOLUÇÕES,Remoto,Pequena/média empresa,Até R$15.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Programador(a) - Pleno #1","Angular,Bootstrap,C#","Finger Digital ,Guarulhos, São Paulo, Brasil,Pequena/média empresa,Pleno,PJ,Não aceita candidatos de fora"
"Vencida, Senior Python Developer","API,Django,Python","Metrobi,Remoto,Startup,Até R$15.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) WordPress Sênior ","API,CSS,WordPress,JavaScript,PHP,Testes unitários","VitaminaWeb,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full-Stack - Wealth Management","Excel,ReactJS,SQL,TypeScript,Node.js","G5 Partners,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$8.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Elixir Pleno","API,Java,Python","Cross Commerce Store,Remoto,Startup,Até R$10.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Elixir Jr","Java,Python,Ruby on Rails","Cross Commerce Store,Remoto,Startup,Até R$7.000,Júnior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java Web Pleno","PHP,PostgreSQL,Redis,Spring MVC,Java","NEW TIBOX SERVIÇOS DE TECNOLOGIA DIGITAL PARA COMUNICAÇÃO INTERNA E CORPORATIVA LTDA ,São Paulo, São Paulo, Brasil,Pequena/média empresa,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Python Developer Pleno","API,Django,Python,RESTful","Real Trends,Remoto,Startup,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java Sênior","Java,JavaEE,Spring,JavaScript","Basis Tecnologia da Informação S.A,Remoto,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Pessoa Desenvolvedora Full Stack Sênior","CSS,HTML,JavaScript,Node.js,SCRUM","ez.devs,Remoto,Pequena/média empresa,Até R$18.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Analista de Requisitos / Sistemas - Presencial Pindamonhangaba - SP","Java,.NET,ORACLE,PowerBuilder,UML,Visual Basic","Nityo Infotech do BRasil ,Pindamonhangaba, São Paulo, Brasil,Pequena/média empresa,Até R$8.000,Sênior,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Laravel Pleno","Docker,Git,Laravel,MongoDB,PostgreSQL,PHP","Cultiva Tecnologia,Barueri, São Paulo, Brasil,Pequena/média empresa,Até R$12.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) WEB - Magento/Woocommerce","CSS,Git,HTML,Magento,PHP,WooCommerce","Efizi,Serra, Espírito Santo, Brasil,Startup,Pleno,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) .NET C# Pleno | (Remoto)","C#,JavaScript,SQL Server,Vue.js,.NET","KOTAS SERVIÇOS INTERNET LTDA,Remoto,Startup,Até R$8.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Programador(a) PHP Pleno","ABAP,HTML,JavaScript,ORACLE,PHP","Gi Group,Americana, São Paulo, Brasil,Grande empresa,Até R$6.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-end (remoto)","Angular,AWS EC2 (Elastic Compute Cloud),Node.js,NoSQL,JavaScript","CTWLK,Remoto,Startup,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Líder de Desenvolvimento de Software (Tech Lead)","Docker,Ruby,Ruby on Rails,TDD,Vue.js,JavaScript","Caiena Tecnologia & Design,Remoto,Pequena/média empresa,Até R$15.000,Sênior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) de Software Back-end Sênior","Git,PostgreSQL,Ruby,Ruby on Rails,TDD","Caiena Tecnologia & Design,Remoto,Pequena/média empresa,Até R$10.000,Sênior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Flutter Júnior","Flutter,Git,SCRUM","Cultiva Tecnologia,Barueri, São Paulo, Brasil,Pequena/média empresa,Até R$5.000,Júnior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) NodeJS Júnior","Docker,Git,MongoDB,Node.js,PostgreSQL,SCRUM","Cultiva Tecnologia,Barueri, São Paulo, Brasil,Pequena/média empresa,Até R$5.000,Júnior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) VueJS Pleno","Docker,Git,MongoDB,PostgreSQL,JavaScript,Vue.js","Cultiva Tecnologia,Barueri, São Paulo, Brasil,Pequena/média empresa,Até R$12.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Tech Lead","GraphQL,Gulp,JavaScript,PostgreSQL,ReactJS,VTEX","Codeby,Remoto,Pequena/média empresa,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Arquiteto (a) de Software","AWS EC2 (Elastic Compute Cloud),AWS S3,DevOps,Java,Linux","Vertigo Tecnologia,Remoto,Pequena/média empresa,Até R$15.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Python Junior","Django,Python,API,Git","Heeds Technologies,Remoto,Startup,Até R$6.000,Júnior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor Front-End Pleno (PJ - Híbrido)","Bootstrap,CSS,HTML,JavaScript,WooCommerce,WordPress","E-Moving,São Paulo, São Paulo, Brasil,Startup,Até R$4.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Programador(a) PHP Júnior","CSS,HTML,JavaScript,MySQL,PHP","AKIRE TECNOLOGIA DA INFORMACAO,Barueri, São Paulo, Brasil,Pequena/média empresa,Até R$5.000,Júnior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java","Cucumber,Java,Spring","MG Hunting ,Remoto,Pequena/média empresa,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP / LARAVEL / ANGULAR","Angular,Google Cloud,Laravel,PHP","EVOLUCAO CONSULTORIA E TREINAMENTO EMPRESARIAL,Nova Mutum, Mato Grosso, Brasil,Pequena/média empresa,Até R$5.000,Júnior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full-Stack PHP - Pleno","Bootstrap,Linux,SQLPL","Gigatron,Remoto,Pequena/média empresa,Até R$6.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Dev C# ASP .NET Core Pleno","ASP.NET Core,.NET Core,SQL,C#","UXCOMEX TECNOLOGIA LTDA,São Paulo, São Paulo, Brasil,Startup,Até R$4.000,Júnior,CLT,Não aceita candidatos de fora"
"Vencida, Programador(a) Vue / Nuxt / Firebase","Firebase,JavaScript,TypeScript,Vue.js","YES MARKETING LDA,Remoto,Pequena/média empresa,Até R$12.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full-Stack","CSS,HTML,JavaScript,NextJS,ReactJS,SQL","Agência Zyba,Remoto,Pequena/média empresa,Até R$3.500,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full-Stack Node - Pleno","Angular,API,AWS EC2 (Elastic Compute Cloud),MongoDB,Node.js","Hublab,Remoto,Startup,Até R$8.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Principal Desenvolvedor(a) Full Stack Node.js","API,Node.js,MongoDB,AWS EC2 (Elastic Compute Cloud),Angular,GraphQL","Hublab,Remoto,Startup,Até R$10.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Analista de Dados Pleno (PJ - Híbrido)","Data science,Excel,Google Analytics,MariaDB,MySQL","E-Moving,São Paulo, São Paulo, Brasil,Startup,Até R$3.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-End - Júnior","CSS,HTML,JavaScript,ASP.NET MVC,.NET Core","Otimize Aí,Remoto,Startup,Até R$3.000,Júnior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) .NET","Angular,C#,.NET Core,Web API,.NET","CAMARASYS Tecnologia,Remoto,Pequena/média empresa,Até R$15.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) C# (desejável C++)","C#,JSON,.NET","Orys Soluções e Consultoria LTDA,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) React/NodeJS - Pleno","Express,MongoDB,Node.js,ReactJS,Redux","GAP SISTEMAS,Remoto,Pequena/média empresa,Até R$4.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) .Net Core - Sênior","API,Azure,.NET","SBB,Remoto,Startup,Até R$18.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Programador(a) Front-End Angular - Júnior ","Angular,SQL,Bootstrap,C#,JavaScript","Finger Digital ,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$3.000,Júnior,PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Vue - Pleno","GraphQL,Quasar,Vue.js","IDGeo - Inteligência em Dados Geográficos,Remoto,Startup,Até R$6.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Flutter  ","Firebase,TDD,Flutter","LIS INTEGRATED SOLUTIONS ,Remoto,Startup,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java  ","Git,Web API,Docker,RESTful,Spring Boot,Java","LIS INTEGRATED SOLUTIONS ,Remoto,Startup,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) .Net / React ","Git,ReactJS,SQL Server,Web API,.NET,C#","LIS INTEGRATED SOLUTIONS ,Remoto,Startup,Júnior,CLT,Aceita candidatos de fora"
"Vencida, Analista Engenharia de Sistemas - Sênior","Google Cloud,Java,JavaScript,ORACLE,SCRUM","Livelo,Barueri, São Paulo, Brasil,Pequena/média empresa,Até R$10.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) ReactJS - Pleno","Clean Code,CSS,JavaScript,ReactJS,React Native","WisePay,Maceió, Alagoas, Brasil,Pequena/média empresa,Até R$8.000,Pleno,PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Flutter/Dart","Dart,Flutter,JavaScript,jQuery","Hummanos Consultoria,Uberlândia, Minas Gerais, Brasil,Pequena/média empresa,Até R$8.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Analista Programador(a) Delphi - Pleno","API,Delphi,Firebird,SCRUM,SQL","Sem Limite Distribuidora de Alimentos,Pouso Alegre, Minas Gerais, Brasil,Pequena/média empresa,Até R$6.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Assistente Programador(a) Delphi/Pascal - Júnior","Delphi,Firebird,Pascal","Sem Limite Distribuidora de Alimentos,Pouso Alegre, Minas Gerais, Brasil,Pequena/média empresa,Até R$2.500,Júnior,CLT,Não aceita candidatos de fora"
"Vencida, Analista Programador(a) Delphi - Pleno","API,Delphi,Firebird,SCRUM,SQL","Sem Limite Distribuidora de Alimentos,Pouso Alegre, Minas Gerais, Brasil,Pequena/média empresa,Até R$10.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) .Net / React ","Git,ReactJS,SQL Server,Web API,.NET,C#","LIS INTEGRATED SOLUTIONS ,Remoto,Startup,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) JAVA - Sênior","ORACLE,PLSQL,Spring,Java","PPT Consultoria ,Goiânia, Goiás, Brasil,Pequena/média empresa,Até R$15.000,Sênior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Interprete Inglês/Português - Auxiliar De Programação","Python,Kanban,SCRUM","MACM Sistemas,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$2.000,Júnior,Estágio,Aceita candidatos de fora"
"Vencida, Programador(a) Full-Stack - Júnior ","Angular,API,Bootstrap,JavaScript,Node.js,TypeScript","Finger Digital ,Remoto,Pequena/média empresa,Até R$2.000,Júnior,PJ,Aceita candidatos de fora"
"Vencida, Developer Golang - Sênior","DevOps,Go,MongoDB","Rockspoon,Remoto,Startup,Até R$18.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Arquiteto de TI","C#,DevOps,kubernetes,RabbitMQ,.NET,API","Crefisa,São Paulo, São Paulo, Brasil,Grande empresa,Até R$15.000,Sênior,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) .NET - Pleno ","Angular,C#,Git,.NET,.NET Core,ORACLE","Crefisa,São Paulo, São Paulo, Brasil,Grande empresa,Até R$12.000,Pleno,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Back-End Ruby on Rails - Pleno","Node.js,Ruby on Rails,TypeScript","Consulta Remédios,Remoto,Startup,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front End – Angular Pleno","Angular,API,C#,CSS,Git,HTML","Altec Sistemas e Tecnologia,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$6.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) ANDROID","Android,iOS,Swift","Prover Soluções em Tecnologia,Remoto,Pequena/média empresa,Até R$10.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-end - Pleno","AWS EC2 (Elastic Compute Cloud),ReactJS,React Native","Flix Seguros,Remoto,Startup,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Developer Vue.js / Nuxt.js  - Full Time (Remote)","GraphQL,TypeScript,Vue.js","PROMPTEQUATION / ODOOGAP,Remoto,Pequena/média empresa,Até R$8.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Django","Selenium,Django,Python","Control,Florianópolis, Santa Catarina, Brasil,Pequena/média empresa,Até R$15.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) ReactJS / NodeJS","CSS,Git,HTML,Java,Node.js,ReactJS","Konvix Tecnologia,Remoto,Startup,Até R$3.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) FullStack","GraphQL,Jest,Node.js,ReactJS,React Native,TypeScript","Acelera RH,Remoto,Pequena/média empresa,Até R$12.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP(CMS Wordpress) / CSS - Pleno","CSS,HTML,JavaScript,PHP,SQL","MCorp Consultoria,Remoto,Pequena/média empresa,Até R$4.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Magento - Sênior","API,Design Pattern,Flex,Git,Magento,PHP","VitaminaWeb,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Mobile","Android,Java,Kotlin","Carguero ,Remoto,Startup,Até R$12.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-End React","Node.js,ReactJS,SQL Server","DeltaOmega Tecnologia,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$7.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida,  Analista Programador(a) .NET","C#,SQL Server,.NET","Trucks Control,Remoto,Pequena/média empresa,Até R$7.000,Júnior,CLT,Aceita candidatos de fora"
"Vencida, Analista Programador(a) Mobile","Android,C#,iOS,Java,Objective-C,Web Services","Trucks Control,Remoto,Pequena/média empresa,Até R$7.000,Júnior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Ruby on Rails - Sênior","Ruby on Rails,PostgreSQL,API,AWS S3,Testes automatizados,ReactJS","bycoders_,Remoto,Pequena/média empresa,Sênior,PJ / CLT,Aceita candidatos de fora"
"Vencida, Analista Desenvolvedor(a) Django","AWS S3,Bootstrap,CSS,Django,Java,Python","Grupo GBI,Remoto,Pequena/média empresa,Até R$10.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) React Native - Pleno","Git,ReactJS,React Native","Develcode Informática LTDA,Remoto,Pequena/média empresa,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Node.Js - Sênior ","API,MongoDB,Node.js","Via Digital Serviços de Internet Ltda,Remoto,Pequena/média empresa,Até R$10.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java","CSS,HTML,Java,MongoDB,Spring,JavaScript","Malu Frontino,Remoto,Startup,Até R$8.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Arquiteto de Soluções","C#,DevOps,kubernetes,RabbitMQ,.NET,API","Crefisa,São Paulo, São Paulo, Brasil,Grande empresa,Até R$15.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-End React ","Docker,JavaScript,ReactJS,Redux","Carguero ,Remoto,Startup,Até R$12.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Back-End","JavaScript,MongoDB,MVC,Node.js,NoSQL,TypeScript","AGX Software,Remoto,Pequena/média empresa,Até R$4.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-End","API,MVC,ReactJS,Redux,Git,RESTful","AGX Software,Remoto,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Programador(a) PHP - Remoto","MySQL,PHP,Zend","Pontocom,Remoto,Pequena/média empresa,Até R$6.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Programador(a) PHP - Júnior","MySQL,PHP,Zend","Pontocom,Curitiba, Paraná, Brasil,Pequena/média empresa,Até R$3.000,Júnior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Angular - Pleno ","Angular,JavaScript,TypeScript","Recriarti,Remoto,Pequena/média empresa,Até R$18.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) C#/.NET Web (Arquitetura MVC)","C#,MVC,SQL Server,.NET","Tivia Tecnologia da Informação ,Remoto,Grande empresa,Até R$12.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Developer Full-Stack PHP - Remote","JavaScript,PHP,ReactJS","Scopic,Remoto,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Magento - Inglês Avançado","Git,Magento,MySQL,PHP,RESTful","Tivia Tecnologia da Informação ,Remoto,Grande empresa,Até R$15.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-End React - Sênior","CSS,HTML,JavaScript,ReactJS","Acelera RH,Remoto,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Analista Desenvolvedor(a) Java - Pleno","Angular,Git,PostgreSQL,Java,SCRUM,Spring Boot","Navita,São Paulo, São Paulo, Brasil,Startup,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Analista Desenvolvedor(a) VueJS/Angular - Júnior","Angular,Git,Kanban,PostgreSQL,SCRUM,Vue.js","Navita,São Paulo, São Paulo, Brasil,Startup,Júnior,CLT,Aceita candidatos de fora"
"Vencida, Analista Desenvolvedor(a) Java - Sênior","Design Pattern,Git,Java,PostgreSQL,RESTful,SQL Server","Navita,São Paulo, São Paulo, Brasil,Startup,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Analista Desenvolvedor(a) Java - Júnior","Angular,Git,PostgreSQL,SCRUM,Spring Boot,Java","Navita,São Paulo, São Paulo, Brasil,Startup,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full-Stack","Go,JavaScript,PHP","SocialHub,Rio de Janeiro, Rio de Janeiro, Brasil,Startup,Até R$3.500,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Back-End - Sênior","API,C#,Cloud,Docker,Python,Git","D3 Company,Remoto,Pequena/média empresa,Sênior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP","Bootstrap,Git,MVC,MySQL,PHP,SCRUM","Mastertax,Remoto,Startup,Até R$8.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) ReactJS - Pleno","CSS,HTML,JavaScript,ReactJS,TypeScript","ez.devs,Remoto,Pequena/média empresa,Até R$12.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) de Software ","MySQL,Node.js,ReactJS,AWS S3,Elasticsearch,Vue.js","Passei Direto ,Remoto,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) ","Java,JavaScript,ReactJS","View Software House,Ponta Grossa, Paraná, Brasil,Startup,Até R$3.000,Júnior,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) IOS - Sênior","Clean Code,Git,Objective-C,SCRUM,Swift,iOS","One Choice ,Remoto,Pequena/média empresa,Até R$12.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Especialista em Power Builder","ORACLE,PLSQL,PowerBuilder,UML","Nityo Infotech do BRasil ,Remoto,Pequena/média empresa,Até R$12.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-End Angular - Sênior","Angular,HTML,JavaScript","Br Brasil Retail Administrativo e Incorporadora S.A.,Remoto,Startup,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Back-End - Júnior","API,Bootstrap,C#,.NET,PHP","Hub Home Box,São Paulo, São Paulo, Brasil,Startup,Até R$3.000,Júnior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java Full-Stack - Pleno","Angular,Java,Spring Boot","DomDH,Remoto,Startup,Até R$5.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Back-End Python - Sênior","Clean,Git,Python","Flix Seguros,Remoto,Startup,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Web","Android,Angular,API,Ionic,JavaScript,jQuery","SOFTDIB INFORMÁTICA LTDA,Curitiba, Paraná, Brasil,Pequena/média empresa,Até R$8.000,Sênior,PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java - Pleno","Hibernate,PostgreSQL,Java","G4F,Remoto,Grande empresa,Até R$5.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Python - 100% Remota","Django,Flask,Pyramid,Python","Clicksign,Remoto,Startup,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Java - Sênior","Java,JavaScript,SQL","Engineering Brasil,Remoto,Pequena/média empresa,Até R$18.000,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) .NET/Framework/Core - Sênior ","API,Design Pattern,Entity framework,Git,.NET,RESTful","LOLDESIGN Soluções Digitais LTDA,Remoto,Pequena/média empresa,Até R$8.000,Sênior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) - Pleno","Elasticsearch,Laravel,MySQL,PHP","CEGH Tecnologias Educacionais,Remoto,Startup,Até R$8.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP/Laravel - Pleno","CSS,Laravel,MySQL,Vue.js","Nick Saúde,Remoto,Startup,Até R$8.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Back-End - Sênior","GraphQL,Node.js,PostgreSQL,TypeScript","adōpets,Remoto,Startup,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP/LARAVEL - Sênior","API,Bootstrap,Laravel,Docker,MySQL,PHP","Xper Negocios Gestão e Serviços.,Remoto,Pequena/média empresa,Até R$5.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Analista Programador(a) Web - Pleno","ASP.NET,C#,CSS,HTML,JavaScript,SQL Server","Trucks Control,Londrina, Paraná, Brasil,Pequena/média empresa,Até R$6.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Front-End Engineer - React","JavaScript,ReactJS,CSS","Constructor,Remoto,Startup,Acima de R$18.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida,  Developer Back-End Laravel/Api - Pleno","API,Laravel,Linux","Akintec,São Paulo, São Paulo, Brasil,Startup,Até R$6.000,Pleno,PJ,Aceita candidatos de fora"
