nome,tecnologia,outrosDetalhes
"Vencida, Desenvolvedor React Native Senior","API,Node.js,React Native","Deploy IT ,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Drupal","API,CSS,Docker,Drupal,HTML,PHP","VELIFERA CENTRO DE SERVICOS COMPARTILHADOS,Campinas, SP,Startup,Até R$8.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Back End Pleno","Git,JavaScript,CSS,HTML","Mandic Cloud Solution,Remoto,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Pleno","Node.js,MongoDB,JavaScript","Nucont,Remoto,Startup,Até R$7.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Sênior","SQL,PHP,JavaScript,HTML,CSS","Bling,Remoto,Startup,Sênior,CLT,Aceita candidatos de fora"
"Vencida, DESENVOLVEDOR(A) FLUTTER","Flutter,SCRUM,Git","KLB Group,Remoto,Pequena/média empresa,Até R$15.000,Sênior,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Javascript Júnior","Git,CSS,JavaScript,Ionic,Angular","Razviti Soluções Tecnológicas LTDA,Belo Horizonte,Pequena/média empresa,Até R$2.000,Júnior,CLT / PJ,Aceita candidatos de fora"
"Vencida, 9274 - Analista Desenvolvedor(a) Full Stack C#","CSS,C#,JavaScript,.NET","Talent Group,Remoto,Pequena/média empresa,Sênior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) C# Sênior","API,C#,.NET","ForLogic,Remoto,Pequena/média empresa,Até R$15.000,Sênior,CLT / PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) C e C++ Pleno (Presencial)","API,C,C++","IGS Desenvolvimento de Software ,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$7.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, .NET Developer Senior (Work From Home)","CSS,HTML,JavaScript,C#,.NET,SQL Server","BairesDev,Remoto,Grande empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Python Developer Senior (Work From Home)","Django,MySQL,ORACLE,Python,SQL","BairesDev,Remoto,Grande empresa,Sênior,PJ,Aceita candidatos de fora"
"Vencida, DESENVOLVEDOR(A) FRONT-END JÚNIOR","CSS,Git,HTML,JavaScript,ReactJS","Grupo SOITIC,Remoto,Pequena/média empresa,Até R$2.500,Júnior,CLT,Aceita candidatos de fora"
"Vencida, ANALISTA FULL STACK C# SÊNIOR","C#,JavaScript,.NET Core,PostgreSQL","PX Bank,Belo Horizonte, Minas Gerais, Brasil,Startup,Até R$8.000,Sênior,CLT,Não aceita candidatos de fora"
"Vencida, DEV - Mobile Android Sênior","Java,Kotlin,Android,Android Studio","PX Bank,Belo Horizonte, Minas Gerais, Brasil,Startup,Até R$7.000,Sênior,CLT,Não aceita candidatos de fora"
"Vencida, Analista Desenvolvedor(a) .Net (Fullstack) Pleno","Angular,C#,.NET Core","Talent Group,Remoto,Pequena/média empresa,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) PHP Júnior","CSS,HTML,JavaScript,MySQL,PHP,Bootstrap","CliniSYS - Tecnologia e Sistemas de Saúde,Remoto,Pequena/média empresa,Até R$3.000,Júnior,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Angular Pleno","Angular,CSS,HTML,JavaScript,TypeScript","ForLogic,Remoto,Pequena/média empresa,Até R$6.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) C# Pleno","Angular,C#,.NET","ForLogic,Cornélio Procópio, Paraná, Brasil,Pequena/média empresa,Até R$8.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Front-End (Analista de Marketing Place)","CSS,HTML,ReactJS,React Native,WordPress","Prognum Tecnologia,Rio de Janeiro, Rio de Janeiro, Brasil,Pequena/média empresa,Pleno,CLT,Não aceita candidatos de fora"
